complaint_id,officer_id,po_race,po_sex,po_assigned_unit,allegations_investigated,investigative_findings,disciplinary_findings
15-0268,40106202,white,male,0100 01ST DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
15-0268,40106202,white,male,0100 01ST DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
15-0268,99083558,white,male,0100 01ST DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
15-0268,99083558,white,male,0100 01ST DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
15-0269,36573755,white,male,5300 HIGHWAY PATROL,Verbal Abuse,No Sustained Findings,Not Applicable
15-0269,95446397,asian,male,5300 HIGHWAY PATROL,Verbal Abuse,No Sustained Findings,Not Applicable
15-0270,93949510,white,male,1700 17TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
15-0270,43842584,white,male,1700 17TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
15-0270,67286550,black,male,1700 17TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
15-0271,38731538,black,male,1200 12TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
15-0271,50876581,black,male,1200 12TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
15-0272,43147012,white,male,9814 DEPARTMENT ADVOCATE,Departmental Violation,No Sustained Findings,Not Applicable
15-0273,84782106,white,female,6500 SOUTHWEST DET,Lack of Service,No Sustained Findings,Not Applicable
15-0274,,,,,Physical Abuse,No Sustained Findings,Not Applicable
15-0275,81589204,white,male,5300 HIGHWAY PATROL,Departmental Violation,No Sustained Findings,Not Applicable
15-0275,81589204,white,male,5300 HIGHWAY PATROL,Verbal Abuse,No Sustained Findings,Not Applicable
15-0275,53673288,white,male,5300 HIGHWAY PATROL,Departmental Violation,No Sustained Findings,Not Applicable
15-0275,53673288,white,male,5300 HIGHWAY PATROL,Verbal Abuse,No Sustained Findings,Not Applicable
15-0276,43241426,white,male,5861 CANINE UNIT,Departmental Violation,No Sustained Findings,Not Applicable
15-0277,53322069,black,female,2600 26TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
15-0277,68301927,latino,male,2600 26TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
15-0278,36091386,white,male,1200 12TH DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
15-0278,67148362,black,male,1200 12TH DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
15-0279,40763666,black,male,0800 08TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
15-0279,50010721,black,male,0800 08TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
15-0280,43670923,black,male,5300 HIGHWAY PATROL,Departmental Violation,No Sustained Findings,Not Applicable
15-0280,38672830,white,female,0900 09TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
15-0280,38672830,white,female,0900 09TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
15-0281,87634260,latino,male,1400 14TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
15-0282,73787195,black,male,1400 14TH DISTRICT,Harassment,No Sustained Findings,Not Applicable
15-0283,86598970,black,male,1900 19TH DISTRICT,Domestic,No Sustained Findings,Not Applicable
15-0283,86598970,black,male,1900 19TH DISTRICT,Domestic,No Sustained Findings,Not Applicable
15-0283,86598970,black,male,1900 19TH DISTRICT,Criminal Allegation,No Sustained Findings,Not Applicable
15-0283,86598970,black,male,1900 19TH DISTRICT,Domestic,No Sustained Findings,Not Applicable
15-0283,86598970,black,male,1900 19TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
15-0284,92106210,white,male,0200 02ND DISTRICT,Departmental Violation,Sustained Finding,Training/Counseling
15-0284,68726961,white,male,0200 02ND DISTRICT,Departmental Violation,Sustained Finding,Training/Counseling
15-0284,92106210,white,male,0200 02ND DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
15-0284,68726961,white,male,0200 02ND DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
15-0284,,,,,Harassment,No Sustained Findings,Not Applicable
15-0285,17870218,black,male,2500 25TH DISTRICT,Civil Rights Complaint,No Sustained Findings,Not Applicable
15-0286,97229959,black,male,1700 17TH DISTRICT,Departmental Violation,Sustained Finding,Training/Counseling
15-0286,77252008,white,male,1700 17TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
15-0286,77252008,white,male,1700 17TH DISTRICT,Physical Abuse,Sustained Finding,Guilty Finding
15-0286,29333764,white,male,1700 17TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
15-0286,29333764,white,male,1700 17TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
15-0287,98660928,white,male,0500 05TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
15-0287,43164178,white,male,0500 05TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
15-0287,28694497,white,male,0500 05TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
15-0288,95869027,white,female,0300 03RD DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
15-0288,50675050,white,female,0100 01ST DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
15-0288,45317499,black,male,2200 22ND DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
15-0289,48541299,white,male,1500 15TH DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
15-0289,48541299,white,male,1500 15TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
15-0290,12472497,white,male,1500 15TH DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
